dataset,method,seed,reference_type,trajectory_comparable,initial_accuracy,final_accuracy,mean_stream_accuracy,classwise_forgetting,average_incremental_accuracy,backward_transfer_proxy,mean_pseudo_precision,mean_pseudo_coverage,mean_distribution_tv,mean_feature_centroid_drift,mean_parameter_change,mean_batch_seconds,total_seconds,final_buffer_size,ewc_lambda,threshold,initial_lr,online_lr,fisher_mean,fisher_max,_source_file,offline_training_seconds,offline_epochs,offline_train_examples,mean_initial_pseudo_precision,mean_cluster_precision,mean_semantic_precision,mean_sharpness_gap,mean_flat_width,mean_projected_gradient_fraction,final_subspace_rank
cifar10,sdsl_full,3,,,0.3019,0.3709,0.34425999999999995,0.11510000000000001,0.3422428571428572,0.069,0.29609375,1.0,,,0.010937000618684781,5.64901286465,119.9876865,,,,,,,,summary_cifar10_sdsl_full_seed3.json,,,,0.3240234375,0.268359375,0.2724609375,0.6078404113650322,0.09746989557059438,0.6943919938671357,8.0
cifar10,sdsl_full,4,,,0.2992,0.3889,0.35439999999999994,0.06440000000000001,0.3517714285714286,0.08969999999999999,0.321484375,1.0,,,0.01060712676065668,5.638214641800001,119.740489875,,,,,,,,summary_cifar10_sdsl_full_seed4.json,,,,0.3505859375,0.287109375,0.290234375,0.7454194837808608,0.10973897172758977,0.7014185785976108,8.0
mnist,sdsl_full,0,,,0.6278,0.8543,0.770065,0.021868254982685076,0.7604901459726732,0.2279281699993166,0.7294921875,1.0,,,0.011601410979977581,4.588653218749999,97.577508458,,,,,,,,summary_mnist_sdsl_full_seed0.json,,,,0.7599609375,0.5755859375,0.5853515625,2.016862052306533,0.14734429131051346,0.7381413246742841,8.0
mnist,sdsl_full,1,,,0.5594,0.8368,0.7228000000000001,0.0466077727649903,0.7100715251690799,0.2768805413934273,0.6791015625,1.0,,,0.011461758505719706,4.702423224950001,100.10367225,,,,,,,,summary_mnist_sdsl_full_seed1.json,,,,0.705859375,0.5306640625,0.5375,2.827528172433376,0.1765690883022866,0.7412865652035516,8.0
mnist,sdsl_full,2,,,0.5077,0.8188,0.7264399999999999,0.04749933922010986,0.7115538452479977,0.30973759408566437,0.68671875,1.0,,,0.011526396135164759,4.721438506199999,100.627355875,,,,,,,,summary_mnist_sdsl_full_seed2.json,,,,0.7177734375,0.5466796875,0.5587890625,2.8146033123880625,0.17347448488608713,0.7561841583362271,8.0
mnist,sdsl_full,3,,,0.6408,0.8233,0.75681,0.061197131995184596,0.7486069751441538,0.18124411404956534,0.7302734375,1.0,,,0.010672014984071714,4.6290101396,98.545623917,,,,,,,,summary_mnist_sdsl_full_seed3.json,,,,0.7580078125,0.5970703125,0.6041015625,3.1610774363577367,0.18649876756576955,0.7349101315910883,8.0
mnist,sdsl_full,4,,,0.6113,0.832,0.77842,0.09848301839459124,0.7696807128633998,0.2188464058644633,0.751171875,1.0,,,0.010415253810672225,4.6202564666,98.451557292,,,,,,,,summary_mnist_sdsl_full_seed4.json,,,,0.7736328125,0.5966796875,0.6044921875,3.679714623242617,0.19235332953255802,0.7217570651034537,8.0
svhn,sdsl_full,0,,,0.1021819299323909,0.1727105101413645,0.15906000307314078,0.1059695570671771,0.15835023869599785,0.06570700681818586,0.15625,1.0,,,0.012729588666732895,12.488650729249995,263.83130124999997,,,,,,,,summary_svhn_sdsl_full_seed0.json,,,,0.17109375,0.145703125,0.146875,0.48964855045080186,0.10668238294532612,0.6680069165291614,8.0
svhn,sdsl_full,1,,,0.06572679778733866,0.1136677934849416,0.08588660110633066,0.0745188528023118,0.09233935184252548,0.04035033180437159,0.103515625,1.0,,,0.013978952178460922,13.217143314599998,278.315955375,,,,,,,,summary_svhn_sdsl_full_seed1.json,,,,0.1119140625,0.1025390625,0.1033203125,0.036672904193401336,0.02529303661632141,0.513816860906642,8.0
svhn,sdsl_full,2,,,0.10364167178856791,0.16556545789797172,0.1239570528580209,0.08564449946811456,0.12168706359865587,0.04630976812753315,0.1314453125,1.0,,,0.01342084745920916,13.604725983350002,286.78298595900003,,,,,,,,summary_svhn_sdsl_full_seed2.json,,,,0.1431640625,0.12890625,0.13046875,0.14025376081466673,0.050117856196967694,0.6069720207090212,8.0
svhn,sdsl_full,3,,,0.13867547633681623,0.21876920712968653,0.15063383527965582,0.0829091982435384,0.14001135571046885,0.07799907422428534,0.15234375,1.0,,,0.013228291396471333,13.8647616813,292.095270708,,,,,,,,summary_svhn_sdsl_full_seed3.json,,,,0.1501953125,0.1517578125,0.150390625,0.40553986221551896,0.0886849414659775,0.5776445656058955,8.0
svhn,sdsl_full,4,,,0.11743239090350338,0.15868930547019053,0.12979025814382297,0.033319053897150265,0.12433836869832683,0.03466128487004366,0.1193359375,1.0,,,0.012520002032377112,13.972187837550006,294.2818165,,,,,,,,summary_svhn_sdsl_full_seed4.json,,,,0.1236328125,0.112890625,0.11640625,0.16753352105617525,0.0524115818161157,0.5742789452699236,8.0
